FIGHTER_WIN;FIGHTER_LOSE;METHOD;METHOD_DESC;ROUND;TIME;EVENT_NAME;LOCATION
Ryan Hall;Artem Lobov;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Tony Ferguson;Edson Barboza;SUB;D'Arce Choke;2;2:54;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Evan Dunham;Joe Lauzon;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Tatsuya Kawajiri;Jason Knight;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Julian Erosa;Marcin Wrzosek;S-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Gabriel Gonzaga;Konstantin Erokhin;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Ryan LaFlare;Mike Pierce;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Geane Herrera;Joby Sanchez;KO/TKO;Punch;2;4:28;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Chris Gruetzemacher;Abner Lloveras;U-DEC;;3;5:00;The Ultimate Fighter: Team McGregor vs. Team Faber Finale;Las Vegas, Nevada, USA
Rose Namajunas;Paige VanZant;SUB;Rear Naked Choke;5;2:25;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Michael Chiesa;Jim Miller;SUB;Rear Naked Choke;2;2:57;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Sage Northcutt;Cody Pfister;SUB;Guillotine Choke;2;0:41;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Thiago Santos;Elias Theodorou;U-DEC;;3;5:00;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Tim Means;John Howard;KO/TKO;Punch;2;0:21;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Sergio Moraes;Omari Akhmedov;KO/TKO;Punches;3;2:18;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Antonio Carlos Junior;Kevin Casey;CNC;;1;0:11;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Aljamain Sterling;Johnny Eduardo;SUB;Guillotine Choke;2;4:18;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Santiago Ponzinibbio;Andreas Stahl;KO/TKO;Punch;1;4:25;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Danny Roberts;Nathan Coy;SUB;Triangle Choke;1;2:46;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Zubaira Tukhugov;Phillipe Nover;S-DEC;;3;5:00;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Kailin Curran;Emily Kagan;SUB;Rear Naked Choke;2;4:13;UFC Fight Night: Namajunas vs. VanZant;Las Vegas, Nevada, USA
Benson Henderson;Jorge Masvidal;S-DEC;;5;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Dong Hyun Kim;Dominic Waters;KO/TKO;Punches;1;3:11;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Alberto Mina;Yoshihiro Akiyama;S-DEC;;3;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Dooho Choi;Sam Sicilia;KO/TKO;Punch;1;1:33;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Dongi Yang;Jake Collier;KO/TKO;Punches;2;1:50;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Mike de la Torre;Yui Chul Nam;S-DEC;;3;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Tae Hyun Bang;Leo Kuntz;S-DEC;;3;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Seo Hee Ham;Cortney Casey;U-DEC;;3;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Fredy Serrano;Yao Zhikui;KO/TKO;;1;0:44;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Marco Beltran;Guangyou Ning;S-DEC;;3;5:00;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Dominique Steele;Dong Hyun Ma;KO/TKO;Slam;3;0:27;UFC Fight Night: Henderson vs Masvidal;Seoul, South Korea
Neil Magny;Kelvin Gastelum;S-DEC;;5;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Ricardo Lamas;Diego Sanchez;U-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Henry Cejudo;Jussier Formiga;S-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Erick Montano;Enrique Marin;S-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Enrique Barzola;Horacio Gutierrez;U-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Leandro Silva;Efrain Escudero;U-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Erik Perez;Taylor Lapilus;U-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Bartosz Fabinski;Hector Urbina;U-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Alejandro Perez;Scott Jorgensen;KO/TKO;;2;4:26;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Andre Fili;Gabriel Benitez;KO/TKO;Punches;1;3:13;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Alvaro Herrera Mendoza;Vernon Ramos Ho;KO/TKO;Punches;1;0:30;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Marco Polo Reyes;Cesar Arzamendia;KO/TKO;Punch;1;3:42;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Michel Prazeres;Valmir Lazaro;S-DEC;;3;5:00;UFC Fight Night: Magny vs Gastelum;Monterrey, Nuevo Leon, Mexico
Holly Holm;Ronda Rousey;KO/TKO;Kick;2;0:59;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Joanna Jedrzejczyk;Valerie Letourneau;U-DEC;;5;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Mark Hunt;Antonio Silva;KO/TKO;Punch;1;3:41;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Robert Whittaker;Uriah Hall;U-DEC;;3;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Jared Rosholt;Stefan Struve;U-DEC;;3;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Jake Matthews;Akbarh Arreola;KO/TKO;;2;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Kyle Noke;Peter Sobotta;KO/TKO;Kick;1;2:01;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Gian Villante;Anthony Perosh;KO/TKO;Punch;1;2:56;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Danny Martinez;Richie Vaculik;U-DEC;;3;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Daniel Kelly;Steve Montgomery;U-DEC;;3;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Richard Walsh;Steve Kennedy;U-DEC;;3;5:00;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
James Moontasri;Anton Zafir;KO/TKO;Spinning Back Kick;1;4:36;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Ben Nguyen;Ryan Benoit;SUB;Rear Naked Choke;1;2:35;UFC 193: Rousey vs Holm;Melbourne, Victoria, Australia
Vitor Belfort;Dan Henderson;KO/TKO;Kick;1;2:07;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Glover Teixeira;Patrick Cummins;KO/TKO;Punches;2;1:12;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Thomas Almeida;Anthony Birchak;KO/TKO;Punches;1;4:24;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Alex Oliveira;Piotr Hallmann;KO/TKO;Punch;3;0:51;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Rashid Magomedov;Gilbert Burns;U-DEC;;3;5:00;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Corey Anderson;Fabio Maldonado;U-DEC;;3;5:00;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Abel Trujillo;Gleison Tibau;DQ;Rear Naked Choke;1;1:45;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Johnny Case;Yan Cabral;U-DEC;;3;5:00;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Thiago Tavares;Clay Guida;SUB;Guillotine Choke;1;0:39;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Chas Skelly;Edimilson Souza;SUB;Rear Naked Choke;2;1:56;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Viscardi Andrade;Gasan Umalatov;U-DEC;;3;5:00;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Jimmie Rivera;Pedro Munhoz;S-DEC;;3;5:00;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Matheus Nicolau;Bruno Rodrigues;SUB;Guillotine Choke;3;3:27;UFC Fight Night: Belfort vs Henderson 3;Sao Paulo, Sao Paulo, Brazil
Louis Smolka;Paddy Holohan;SUB;Rear Naked Choke;2;4:09;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Norman Parke;Reza Madadi;U-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Nicolas Dalby;Darren Till;M-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Neil Seery;Jon Delos Reyes;SUB;Guillotine Choke;2;4:12;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Stevie Ray;Mickael Lebout;U-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Aisling Daly;Ericka Almeida;U-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Krzysztof Jotko;Scott Askham;S-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Tom Breese;Cathal Pendred;KO/TKO;Punches;1;4:37;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Darren Elkins;Robert Whiteford;U-DEC;;3;5:00;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Garreth McLellan;Bubba Bush;KO/TKO;Punches;3;4:58;UFC Fight Night: Holohan vs Smolka;Dublin, Leinster, Ireland
Daniel Cormier;Alexander Gustafsson;S-DEC;;5;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Ryan Bader;Rashad Evans;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Ruslan Magomedov;Shawn Jordan;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Joseph Benavidez;Ali Bagautinov;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Julianna Pena;Jessica Eye;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Yair Rodriguez;Dan Hooker;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Albert Tumenov;Alan Jouban;KO/TKO;Punches;1;2:55;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Adriano Martins;Islam Makhachev;KO/TKO;Punch;1;1:46;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Rose Namajunas;Angela Hill;SUB;Rear Naked Choke;1;2:47;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Sage Northcutt;Francisco Trevino;KO/TKO;Punches;1;0:57;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Sergio Pettis;Chris Cariaso;U-DEC;;3;5:00;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Derrick Lewis;Viktor Pesta;KO/TKO;Punches;3;1:15;UFC 192: Cormier vs Gustafsson;Houston, Texas, USA
Josh Barnett;Roy Nelson;U-DEC;;5;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Uriah Hall;Gegard Mousasi;KO/TKO;Spinning Back Kick;2;0:25;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Kyoji Horiguchi;Chico Camus;U-DEC;;3;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Takeya Mizugaki;George Roop;U-DEC;;3;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Diego Brandao;Katsunori Kikuno;KO/TKO;Punch;1;0:28;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Mizuto Hirota;Teruto Ishihara;S-DEC;;3;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Keita Nakamura;Li Jingliang;SUB;Rear Naked Choke;3;2:17;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Nick Hein;Yusuke Kasuya;U-DEC;;3;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Kajan Johnson;Naoyuki Kotani;U-DEC;;3;5:00;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Shinsho Anzai;Roger Zapata;KO/TKO;;3;0:47;UFC Fight Night: Barnett vs Nelson;Saitama, Japan
Demetrious Johnson;John Dodson;U-DEC;;5;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Andrei Arlovski;Frank Mir;U-DEC;;3;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Anthony Johnson;Jimi Manuwa;KO/TKO;Punch;2;0:28;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Corey Anderson;Jan Blachowicz;U-DEC;;3;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Paige VanZant;Alex Chambers;SUB;Armbar;3;1:01;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Ross Pearson;Paul Felder;S-DEC;;3;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
John Lineker;Francisco Rivera;SUB;Guillotine Choke;1;2:08;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Raquel Pennington;Jessica Andrade;SUB;Rear Naked Choke;2;4:58;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Tiago dos Santos e Silva;Clay Collard;S-DEC;;3;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Joe Riggs;Ron Stallings;DQ;;2;2:28;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Joaquim Silva;Nazareno Malegarie;S-DEC;;3;5:00;UFC 191: Johnson vs Dodson 2;Las Vegas, Nevada, USA
Max Holloway;Charles Oliveira;KO/TKO;;1;1:39;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Neil Magny;Erick Silva;U-DEC;;3;5:00;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Patrick Cote;Joshua Burkman;KO/TKO;Punches;3;1:26;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Francisco Trinaldo;Chad Laprise;KO/TKO;Punches;1;2:43;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Olivier Aubin-Mercier;Tony Sims;U-DEC;;3;5:00;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Valerie Letourneau;Maryna Moroz;U-DEC;;3;5:00;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Frankie Perez;Sam Stout;KO/TKO;Punches;1;0:54;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Felipe Arantes;Yves Jabouin;SUB;Armbar;1;4:21;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Nikita Krylov;Marcos Rogerio de Lima;SUB;Rear Naked Choke;1;2:29;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Chris Kelades;Chris Beal;S-DEC;;3;5:00;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Shane Campbell;Elias Silverio;U-DEC;;3;5:00;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Misha Cirkunov;Daniel Jolly;KO/TKO;Punches;1;4:45;UFC Fight Night: Holloway vs Oliveira;Saskatoon, Saskatchewan, Canada
Glover Teixeira;Ovince Saint Preux;SUB;Rear Naked Choke;3;3:10;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Beneil Dariush;Michael Johnson;S-DEC;;3;5:00;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Derek Brunson;Sam Alvey;KO/TKO;Punches;1;2:19;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Jared Rosholt;Timothy Johnson;U-DEC;;3;5:00;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Amanda Nunes;Sara McMann;SUB;Rear Naked Choke;1;2:53;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Ray Borg;Geane Herrera;U-DEC;;3;5:00;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Uriah Hall;Oluwale Bamgbose;KO/TKO;Punches;1;2:32;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Chris Camozzi;Tom Watson;U-DEC;;3;5:00;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Dustin Ortiz;Willie Gates;KO/TKO;Punches;3;2:58;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Frankie Saenz;Sirwan Kakai;S-DEC;;3;5:00;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Jonathan Wilson;Chris Dempsey;KO/TKO;Punch;1;0:50;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Marlon Vera;Roman Salazar;SUB;Armbar;2;2:15;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Scott Holtzman;Anthony Christodoulou;SUB;Rear Naked Choke;3;2:40;UFC Fight Night: Teixeira vs Saint Preux;Nashville, Tennessee, USA
Ronda Rousey;Bethe Correia;KO/TKO;Punch;1;0:34;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Mauricio Rua;Rogerio Nogueira;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Glaico Franca Moreira;Fernando Bruno;SUB;Rear Naked Choke;3;4:46;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Reginaldo Vieira;Dileno Lopes;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Stefan Struve;Antonio Rodrigo Nogueira;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Antonio Silva;Soa Palelei;KO/TKO;Punches;2;0:41;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Claudia Gadelha;Jessica Aguilar;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Demian Maia;Neil Magny;SUB;Rear Naked Choke;2;2:52;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Patrick Cummins;Rafael Cavalcante;KO/TKO;Elbows;3;0:45;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Warlley Alves;Nordine Taleb;SUB;Guillotine Choke;2;4:11;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Iuri Alcantara;Leandro Issa;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Vitor Miranda;Clint Hester;KO/TKO;Elbows;2;2:38;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
Guido Cannetti;Hugo Viana;U-DEC;;3;5:00;UFC 190: Rousey vs Correia;Rio de Janeiro, Rio de Janeiro, Brazil
TJ Dillashaw;Renan Barao;KO/TKO;Punches;4;0:35;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Miesha Tate;Jessica Eye;U-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Edson Barboza;Paul Felder;U-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Joe Lauzon;Takanori Gomi;KO/TKO;Punches;1;2:37;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Tom Lawlor;Gian Villante;KO/TKO;Punch;2;0:27;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Jim Miller;Danny Castillo;S-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Ben Saunders;Kenny Robertson;S-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Bryan Caraway;Eddie Wineland;U-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
James Krause;Daron Cruickshank;SUB;Rear Naked Choke;1;1:27;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Andrew Holbrook;Ramsey Nijem;S-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Elizabeth Phillips;Jessamyn Duke;U-DEC;;3;5:00;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Zak Cummings;Dominique Steele;KO/TKO;Punches;1;0:43;UFC on FOX: Dillashaw vs. Barao II;Chicago, Illinois, USA
Michael Bisping;Thales Leites;S-DEC;;5;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Evan Dunham;Ross Pearson;U-DEC;;3;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Joe Duffy;Ivan Jorge;SUB;Triangle Choke;1;3:05;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Joanne Calderwood;Cortney Casey;U-DEC;;3;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Leon Edwards;Pawel Pawlak;U-DEC;;3;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Stevie Ray;Leonardo Mafra;KO/TKO;Punches;1;2:30;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Paddy Holohan;Vaughan Lee;U-DEC;;3;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Ilir Latifi;Hans Stringer;KO/TKO;Punch;1;0:56;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Mickael Lebout;Teemu Packalen;U-DEC;;3;5:00;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Robert Whiteford;Paul Redmond;KO/TKO;Punch;1;3:04;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Jimmie Rivera;Marcus Brimage;KO/TKO;Punches;1;1:29;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Daniel Omielanczuk;Chris de la Rocha;KO/TKO;Punch;1;0:48;UFC Fight Night: Bisping vs Leites;Glasgow, Scotland, United Kingdom
Frank Mir;Todd Duffee;KO/TKO;Punch;1;1:13;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Tony Ferguson;Josh Thomson;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Holly Holm;Marion Reneau;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Manvel Gamburyan;Scott Jorgensen;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Kevin Lee;James Moontasri;SUB;Rear Naked Choke;1;2:56;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Alan Jouban;Matt Dwyer;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Sam Sicilia;Yaotzin Meza;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Jessica Andrade;Sarah Moras;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Rani Yahya;Masanori Kanehara;S-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Sean Strickland;Igor Araujo;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Kevin Casey;Ildemar Alcantara;U-DEC;;3;5:00;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Lyman Good;Andrew Craig;KO/TKO;Punch;2;3:37;UFC Fight Night: Mir vs Duffee;San Diego, California, USA
Stephen Thompson;Jake Ellenberger;KO/TKO;Kick;1;4:29;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Kamaru Usman;Hayder Hassan;SUB;Arm Triangle;2;1:19;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Michael Graves;Vicente Luque;U-DEC;;3;5:00;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Jorge Masvidal;Cezar Ferreira;KO/TKO;Elbow;1;4:22;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Michelle Waterson;Angela Magana;SUB;Rear Naked Choke;3;2:38;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Maximo Blanco;Mike de la Torre;KO/TKO;Punch;1;0:16;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Josh Samman;Caio Magalhaes;SUB;Rear Naked Choke;1;2:52;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Jerrod Sanders;Russell Doane;U-DEC;;3;5:00;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Trevor Smith;Dan Miller;U-DEC;;3;5:00;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
George Sullivan;Dominic Waters;U-DEC;;3;5:00;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Willie Gates;Darrell Montague;KO/TKO;Punches;1;1:36;The Ultimate Fighter: American Top Team vs. Blackzilians Finale;Las Vegas, Nevada, USA
Conor McGregor;Chad Mendes;KO/TKO;Punch;2;4:57;UFC 189: Mendes vs McGregor;Las Vegas, Nevada, USA
Robbie Lawler;Rory MacDonald;KO/TKO;Punch;5;1:00;UFC 189: Mendes vs McGregor;Las Vegas, Nevada, USA
